FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
153,0.86929512,0.755237162,0.697834551,0.637112737,10.22
154,0.848846138,0.754440606,0.640523255,0.592584074,0
155,0.788127661,0.762783229,0.489823282,0.482079566,0
156,0.838304877,0.742230296,0.596379161,0.570441067,8.39
157,0.845310748,0.77380836,0.618605912,0.576629162,8.53
158,0.801455796,0.722109914,0.589514077,0.555851877,6.14
159,0.797966301,0.708235264,0.569832623,0.533367813,7.04
160,0.838394344,0.73349148,0.633863091,0.590212941,7.69
161,0.853764117,0.764963388,0.700814366,0.634999454,0
162,0.854001701,0.750443399,0.676469505,0.615952611,8.09
163,0.743688285,0.668545544,0.473640054,0.466253608,6.86
164,0.825123966,0.733432949,0.624044299,0.574072301,0
165,0.846962869,0.748760641,0.638684571,0.594152629,7.71
166,0.862720788,0.766852081,0.691782653,0.630305946,7.43
167,0.848670721,0.746979415,0.639294147,0.592372537,7.25
168,0.837634146,0.738130212,0.619782686,0.578437328,10.67
169,0.842931986,0.791364968,0.587153375,0.556156933,5.43
170,0.830181479,0.775345027,0.568182945,0.524047732,9.32
171,0.789458334,0.712037265,0.558096588,0.521895766,12.26
172,0.835977197,0.74854058,0.585423768,0.558088303,9.4
173,0.796638191,0.704648137,0.563079298,0.532625318,6.36
174,0.805108607,0.742641568,0.577204585,0.545144498,0
175,0.815081954,0.735062718,0.672426939,0.596639991,5.54
176,0.82049942,0.724139154,0.560205579,0.540611982,0
177,0.82437557,0.72471565,0.595211506,0.558134496,6.07
178,0.830910623,0.760015607,0.627308905,0.579203486,12.83
179,0.850681722,0.760958791,0.645490825,0.596681893,11.79
180,0.830766737,0.73462373,0.603438318,0.565249026,13.1
181,0.872665107,0.770973206,0.69337815,0.632792652,9.94
182,0.801476777,0.729735672,0.563002408,0.540927052,7.55
183,0.850942314,0.750653982,0.676727772,0.621197164,0
184,0.803219438,0.708879232,0.563257754,0.536339402,10.67
185,0.813584685,0.721536815,0.573440671,0.542950571,0
186,0.849951267,0.7623896,0.643026292,0.592666388,10.48
187,0.855110407,0.747722208,0.647731066,0.599888206,14.36
188,0.785688102,0.711628139,0.535167098,0.505490959,0
189,0.817987263,0.721992016,0.568970323,0.54103899,9.2
190,0.833336592,0.751648843,0.583546519,0.548457682,9.02
