FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
3572,0.815415323,0.74897331,0.534714639,0.501317561,5.75
3676,0.790585935,0.703571558,0.509211898,0.50382185,5.75
22,0.852692306,0.783367157,0.617981255,0.58465606,5.76
1813,0.86246115,0.763579607,0.68909663,0.630106926,5.76
2329,0.85005635,0.744684577,0.637017608,0.59143889,5.76
151,0.808269739,0.764573097,0.569993615,0.540158451,5.77
779,0.820667088,0.729386628,0.658138156,0.609420955,5.77
2969,0.832429945,0.724569559,0.60277015,0.570945919,5.77
3795,0.781610668,0.7050969,0.567275047,0.532963872,5.77
3365,0.783081412,0.741145015,0.571895003,0.546080828,5.78
604,0.869751275,0.768327475,0.600517452,0.563138306,5.79
1147,0.757381856,0.673204184,0.541332722,0.512581527,5.79
1130,0.812242627,0.720976353,0.594712377,0.557154715,5.8
3319,0.817137837,0.717503548,0.623706102,0.572350144,5.8
113,0.846163869,0.764952242,0.657221317,0.605575323,5.81
775,0.828260899,0.740022421,0.635894418,0.581400752,5.81
1163,0.822517395,0.7280882,0.583255589,0.552448034,5.81
3032,0.832302928,0.736099303,0.614175558,0.574195504,5.81
3358,0.814213336,0.714855492,0.565655291,0.536068678,5.81
33,0.683820546,0.62713021,0.485931575,0.449508309,5.82
82,0.816455066,0.716319084,0.569658995,0.541665792,5.82
1947,0.832607031,0.735071301,0.660419226,0.60619247,5.82
2640,0.799625158,0.740487456,0.522301853,0.498576254,5.83
2546,0.853885233,0.770160437,0.58684653,0.554251015,5.85
908,0.848034859,0.748813987,0.697574317,0.635392725,5.86
1506,0.804977536,0.722807169,0.568425834,0.538847625,5.86
2771,0.788254201,0.733354688,0.508133829,0.496529549,5.86
3458,0.797975659,0.740321159,0.496028364,0.486936182,5.86
1618,0.786286891,0.706338465,0.542703688,0.522688031,5.88
2343,0.811808109,0.71640569,0.598080337,0.555948019,5.89
3648,0.868096232,0.781735361,0.561188757,0.549790263,5.89
319,0.848542094,0.767764091,0.595869839,0.56133908,5.9
539,0.80911684,0.718972623,0.558686137,0.531997979,5.9
3072,0.857218027,0.772167683,0.746311784,0.672817826,5.9
294,0.799572051,0.70431143,0.570318103,0.542977631,5.91
1822,0.839037657,0.736145914,0.662381411,0.600726783,5.91
1932,0.771320343,0.703988791,0.526813328,0.512344122,5.91
2554,0.801745594,0.727981091,0.563142061,0.535213053,5.91
3724,0.799708247,0.718966603,0.565640509,0.537781417,5.91
130,0.821710408,0.733511388,0.59354949,0.5536834,5.92
3487,0.809913337,0.727628589,0.585215807,0.554136932,5.92
3673,0.811005294,0.714242041,0.570746481,0.543448448,5.92
515,0.803720772,0.726001918,0.572200954,0.542581975,5.93
3124,0.822741032,0.726739526,0.588956058,0.554338872,5.93
1088,0.800108433,0.713387251,0.596207738,0.558791637,5.94
3063,0.846184552,1.295781374,0.606388748,0.696675777,5.94
3490,0.79036063,0.717082381,0.566530108,0.534802735,5.94
541,0.765232742,0.684847713,0.533020735,0.505529106,5.95
735,0.750489652,0.673411429,0.495089293,0.478883326,5.95
742,0.850615025,0.757237315,0.644895077,0.588950992,5.96
1391,0.82696569,0.749124646,0.572817802,0.544636488,5.96
1654,0.797950089,0.72191745,0.546127081,0.520055711,5.96
1740,0.815082431,0.728693128,0.59619987,0.554411709,5.96
3205,0.819914401,0.74457401,0.609077573,0.561479449,5.96
3510,0.851106524,0.770640194,0.654721975,0.607868135,5.96
259,0.795755506,0.720138907,0.577640831,0.547067583,5.97
902,0.826979101,0.73613739,0.604177594,0.56653899,5.97
915,0.833411098,0.739595711,0.662789762,0.616748869,5.97
1749,0.958430111,1.182822585,0.600530207,0.77725035,5.97
2196,0.868766725,0.801284075,0.629176438,0.58052659,5.97
109,0.830396831,0.731771886,0.611267924,0.575051546,5.99
1221,0.817244709,0.728111982,0.564127028,0.535306156,5.99
3708,0.829091311,0.729329348,0.614521384,0.572478235,5.99
3783,0.819922388,0.729280353,0.608747959,0.56433779,5.99
774,0.827344298,0.765350521,0.559042394,0.525886238,6
968,0.8265571,0.73176384,0.599775195,0.551733792,6
1258,0.81711179,0.745588005,0.577188969,0.540911853,6.02
1615,0.856972873,0.756341219,0.65982753,0.60561347,6.02
437,0.81925112,0.737670302,0.608629584,0.572448075,6.03
1280,0.813122809,0.71695745,0.580484509,0.544096053,6.03
1515,0.800753653,0.717130363,0.572792709,0.533878386,6.03
342,0.807497561,0.74349618,0.529242218,0.511243701,6.04
759,0.830056965,0.73403877,0.597847402,0.563741028,6.04
137,0.779841304,0.703809261,0.5568223,0.522072971,6.05
1425,0.835490823,0.743970454,0.613994658,0.5792377,6.05
12,0.836308062,0.764263034,0.613658071,0.569203854,6.07
177,0.82437557,0.72471565,0.595211506,0.558134496,6.07
1523,0.810494781,0.725946128,0.618087173,0.569515944,6.07
3045,0.84742862,0.746978045,0.639707327,0.59362644,6.07
3513,0.794435918,0.715546429,0.531940877,0.512100935,6.07
3638,0.785920918,0.715291917,0.542927027,0.523448408,6.07
3705,0.743175566,0.664592743,0.506029487,0.484572589,6.08
576,0.854249716,0.757196367,0.665514886,0.610459268,6.09
3144,0.691054285,0.62951529,0.441531897,0.44525668,6.09
3431,0.825305581,0.731521189,0.572553158,0.541868031,6.09
1185,0.85324949,0.769330144,0.550796926,0.52281636,6.1
2675,0.84993875,0.77224189,0.616407037,0.57458806,6.1
3480,0.814425886,0.727431357,0.577823818,0.549939573,6.1
1246,0.826216578,0.722155452,0.598994553,0.566519201,6.11
1310,0.843278229,0.756064773,0.620804906,0.575851798,6.11
1386,0.786561131,0.704184473,0.547379315,0.516860783,6.12
138,0.833771944,0.740015566,0.615424097,0.574154377,6.13
3658,0.835986018,0.748965979,0.687733173,0.624508739,6.13
142,0.826352537,0.741088748,0.62068212,0.575069606,6.14
158,0.801455796,0.722109914,0.589514077,0.555851877,6.14
2367,0.85201937,0.757462263,0.643550873,0.598841012,6.14
3618,0.725822628,0.686214447,0.480230331,0.469373822,6.14
1585,0.806422055,0.724498987,0.573767364,0.544425666,6.15
2991,0.81261307,0.724284291,0.600720644,0.559475601,6.15
3600,0.815173864,0.717025578,0.58954078,0.551896513,6.15
524,0.78518635,0.699782252,0.524087846,0.505027771,6.16
760,0.834833562,0.753598213,0.625225067,0.582348764,6.16
951,0.847876668,0.749614179,0.648733735,0.59872371,6.16
2780,0.796640635,0.722889364,0.635587633,0.575589836,6.16
3569,0.819469452,0.724691808,0.607781649,0.553704083,6.16
615,0.839310884,0.739605665,0.632456064,0.586797059,6.17
772,0.855460584,0.760449827,0.666644633,0.610435069,6.17
2483,0.823491693,0.725573123,0.59953773,0.560535371,6.17
553,0.851597369,0.742930055,0.643313468,0.593901813,6.18
2174,0.840210259,0.745748103,0.625888169,0.578302205,6.18
2238,0.824616671,0.74141264,0.68953377,0.624203682,6.18
790,0.743688047,0.679520845,0.482979745,0.477567524,6.19
1597,0.821007848,0.754818678,0.609311283,0.564977646,6.19
1739,0.808229506,0.734307408,0.52224654,0.505382359,6.19
2256,0.84024936,0.733506024,0.614112556,0.573181987,6.19
134,0.792402804,0.705457509,0.54847765,0.523269296,6.2
2785,0.84342581,0.744769096,0.652609885,0.593617797,6.2
318,0.857710779,0.777688146,0.659497261,0.600854516,6.21
1387,0.841344297,0.734327674,0.716740847,0.644902527,6.21
3344,0.843909621,0.750882864,0.658650041,0.599829853,6.21
666,0.843117237,0.749567032,0.652761638,0.594634414,6.22
527,0.836689234,0.763000071,0.584477186,0.553979158,6.23
3739,0.801301658,0.710150361,0.528452098,0.508655012,6.23
3280,0.760558605,0.668915689,0.502470136,0.488426536,6.24
2924,0.82564795,0.732356369,0.607531309,0.567898035,6.25
3357,0.837707996,0.740440428,0.612619638,0.571617186,6.26
851,0.794880629,0.73700124,0.559419632,0.53530246,6.27
910,0.826486766,0.745817304,0.626069665,0.56856817,6.27
1607,0.840626359,0.745063722,0.670522571,0.616320372,6.27
3367,0.842660367,0.737868547,0.572087586,0.541756034,6.27
2057,0.757638514,0.683714688,0.488727421,0.479358137,6.28
253,0.801116168,0.702777386,0.565166056,0.538541734,6.29
890,0.829154491,0.737510085,0.651532531,0.605665326,6.29
1193,0.811490059,0.721557796,0.600089431,0.547783554,6.29
2068,0.853520513,0.76060909,0.687169313,0.627507627,6.29
3029,0.837204516,0.767948031,0.594627023,0.561344624,6.3
3346,0.7836079,0.693445802,0.523151219,0.507216811,6.3
736,0.794844508,0.709442794,0.53773874,0.518911302,6.32
1330,0.810756803,0.731871843,0.568083942,0.53426975,6.32
1412,0.777251005,0.717834473,0.51390487,0.495980769,6.32
549,0.751715183,0.669343293,0.490049154,0.479706287,6.33
3495,0.792284548,0.702205598,0.568907082,0.548649132,6.33
542,0.821925998,0.734555185,0.552850902,0.532369971,6.35
1595,0.821468115,0.767781556,0.571997941,0.545608521,6.35
1791,0.852093399,0.762620986,0.676875234,0.61579746,6.35
173,0.796638191,0.704648137,0.563079298,0.532625318,6.36
256,0.831701338,0.738955736,0.629306614,0.588310897,6.36
1208,0.791087925,0.702429354,0.53942126,0.520555437,6.36
2893,0.776657641,0.696442544,0.556698203,0.513207555,6.36
3610,0.661322355,0.623320878,0.479597509,0.484297127,6.36
856,0.82098496,0.739104569,0.587722063,0.553509474,6.37
2030,0.811903059,0.73253113,0.554300606,0.532877743,6.37
3650,0.827786624,0.749418974,0.598372042,0.556188941,6.37
435,0.840764344,0.747506857,0.645433724,0.597248912,6.38
1614,0.868864954,0.792302608,0.64038223,0.58150357,6.38
3363,0.811975539,0.731340528,0.591642499,0.562034845,6.38
116,0.776486695,0.690099835,0.537641525,0.519020975,6.39
1206,0.80033648,0.744871557,0.557941198,0.525536776,6.39
1465,0.859300911,0.789331794,0.61990869,0.568488479,6.39
2717,0.803554535,0.708013356,0.55626905,0.53142184,6.39
723,0.865316629,0.755559742,0.681321681,0.628244996,6.4
